Ind	Loci	LLR_4	LLR_5	LLR_6
1LF20_6F6BxO610	270	41.6608541052636	12.7066674326026	0
1LF37_6F6BxO610	317	0	458.325455731132	44.067333537404
1LF47_6F6BxO610	313	207.919253005537	187.801030085796	0
1HF2_6F6BxO610	323	0	879.148234381166	260.856247868608
1HF5_6F6BxO610	134	0.539181314184788	0.0983266727313605	0
1HF14_6F6BxO610	313	201.850024155709	168.845038518662	0
1HF17_6F6BxO610	320	90.1710257469267	226.160256499052	0
1HF41_6F6BxO610	308	336.232694108242	234.955761991478	0
2HF26_6F6BxO610	325	0	295.871885595096	15.8337234800688
3HF35_6F6BxO610	314	0	70.7089083234509	105.988702807245
3LF11_6F6BxO610	277	14.5481968031793	22.2531681635299	0
3LF12_6F6BxO610	135	9.27464303208785	1.86256164017254	0
3LF15_6F6BxO610	325	0	1308.64845787142	1042.29987629004
3LF16_6F6BxO610	325	0	565.73005376562	460.152447938036
1LF12_OE5Ex2E4C	252	125.996627851206	61.4618541465798	0
1LF13_OE5Ex2E4C	323	0	894.661180597926	548.131887232173
1LF15_OE5Ex2E4C	320	137.825264613462	245.631907923457	0
1HF9_OE5Ex2E4C	317	23.3189671252076	147.753746367428	0
1HF10_OE5Ex2E4C	322	0	1022.76163878944	634.44105127745
1HF19_OE5Ex2E4C	320	527.164661819575	278.349290708354	0
1HF23_OE5Ex2E4C	325	155.079159893644	288.345117879003	0
1HF28_OE5Ex2E4C	322	0	821.595132057389	327.988893292573
1HF43_OE5Ex2E4C	324	0	474.876384856657	229.083442191284
1HF45_OE5Ex2E4C	322	321.604490490396	574.271619223782	0
1HF49_OE5Ex2E4C	209	35.6188753015077	1.79096563066946	0
3HF34_OE5Ex2E4C	285	123.744638507642	10.9704166484878	0
3HF50_OE5Ex2E4C	325	0	1331.83266800635	822.322904826038
3LF2_OE5Ex2E4C	324	0	627.743703929875	99.6893462512326
3LF37_OE5Ex2E4C	321	0	343.601050687308	470.144709424427
3LF42_OE5Ex2E4C	29	0	0.0127156674407836	0.0234928056997568
3HF2_OE5ExO610	319	80.5121813538603	303.654332371634	0
3HF3_OE5ExO610	320	0	427.493721090239	117.685696791018
3HF4_OE5ExO610	302	37.6658197571955	13.5491405307747	0
3HF5_OE5ExO610	303	98.0546584850294	81.7530991114763	0
3HF6_OE5ExO610	324	52.2634561241416	145.458155485119	0
3HF7_OE5ExO610	325	6.31757129243533	364.026013785789	0
3HF8_OE5ExO610	316	133.298777107809	211.814070974796	0
3HF11_OE5ExO610	324	0	593.800110711683	261.595849150252
3HF12_OE5ExO610	10	0	0.0235505716788618	0.0246410074090129
3HF15_OE5ExO610	286	0.379045301045949	1.92571085881809	0
3LF3_OE5ExO610	306	187.930512665603	0	25.7098508546987
3LF4_OE5ExO610	324	0	277.823750510407	19.470206070609
3LF6_OE5ExO610	325	0	739.867245153191	594.875523284725
3LF9_OE5ExO610	312	208.573038692668	125.186550258738	0
3LF10_OE5ExO610	318	168.506882134339	92.0486113921299	0
3LF17_OE5ExO610	325	0	878.13287066398	975.598680343178
3LF19_OE5ExO610	323	0	546.574015638377	413.860488816716
3LF22_OE5ExO610	254	0	0.0856559885476145	1.08977606391545
3LF23_OE5ExO610	324	0	776.319406669259	490.471467390844
3LF25_OE5ExO610	324	0	998.213757677949	550.002440423595
SIRE-6158	325	0	473.038504338061	248.39159613062
DAM-2808	325	2070.21551873523	1165.62608212481	0
DAM-2E4C	325	0	376.278171554142	283.313624763904
SIRE-6F6B	325	0	640.754859503912	563.216206613397
DAM-O610	325	0	175.820330793253	217.179366294097
SIRE-0E5E	325	0	480.860362630947	430.574686601012
